goalie_id,goalie_name,total_shots_faced,total_xGA,total_GA,raw_gsax,regressed_gsax,league_sv_pct,calculated_at
8478048,Igor Shesterkin,497,33.5631,26,7.5631,3.7702,0.9254,2025-12-15 10:13:14.910556
8478048,Igor Shesterkin,6064,580.1729,420,160.1729,147.972,0.9254,2025-12-15 10:13:14.910556
8478406,Mackenzie Blackwood,627,47.3018,47,0.3018,0.1679,0.9254,2025-12-15 10:13:14.910556
8478406,,2,0.053,0,0.053,0.0002,0.9254,2025-12-15 10:13:14.910556
8478406,Mackenzie Blackwood,4234,397.4742,310,87.4742,78.2353,0.9254,2025-12-15 10:13:14.910556
8478433,Felix Sandstrom,128,13.4119,17,-3.5881,-0.7313,0.9254,2025-12-15 10:13:14.910556
8478435,Dan Vladar,463,33.0207,43,-9.9793,-4.798,0.9254,2025-12-15 10:13:14.910556
8478435,Dan Vladar,2548,215.967,181,34.967,29.231,0.9254,2025-12-15 10:13:14.910556
8478470,Samuel Montembeault,306,21.337,22,-0.663,-0.2517,0.9254,2025-12-15 10:13:14.910556
8478470,Sam Montembeault,4397,417.632,337,80.632,72.3992,0.9254,2025-12-15 10:13:14.910556
8478492,Ilya Samsonov,202,14.8229,16,-1.1771,-0.3387,0.9254,2025-12-15 10:13:14.910556
8478492,Ilya Samsonov,2424,226.1389,192,34.1389,28.3012,0.9254,2025-12-15 10:13:14.910556
8478499,Adin Hill,748,46.8368,35,11.8368,7.0945,0.9254,2025-12-15 10:13:14.910556
8478499,,7,0.3972,2,-1.6028,-0.0221,0.9254,2025-12-15 10:13:14.910556
8478499,Adin Hill,3730,349.2992,276,73.2992,64.635,0.9254,2025-12-15 10:13:14.910556
8478848,Ales Stezka,53,4.9813,6,-1.0187,-0.0976,0.9254,2025-12-15 10:13:14.910556
8478872,Karel Vejmelka,406,28.3044,35,-6.6956,-3.0004,0.9254,2025-12-15 10:13:14.910556
8478872,Karel Vejmelka,3820,342.6639,298,44.6639,39.4944,0.9254,2025-12-15 10:13:14.910556
8478905,Ivan Fedotov,572,55.3522,55,0.3522,0.1879,0.9254,2025-12-15 10:13:14.910556
8478916,Joey Daccord,629,41.1921,47,-5.8079,-3.2358,0.9254,2025-12-15 10:13:14.910556
8478916,,2,0.2535,0,0.2535,0.001,0.9254,2025-12-15 10:13:14.910556
