player_id,situation,on_ice_xgf,on_ice_xga,shots_for_count,shots_against_count
8476483,5v5,0.8456408178830996,0.5440445588214505,11,9
8476483,PK,0.0,0.13499907779781897,0,2
8476525,5v5,0.08171849089558236,0.08129523321986198,3,3
8476525,PK,0.0,0.0033138105645775795,0,1
8476624,5v5,0.17542706103995442,0.017377475276589394,4,1
8476822,5v5,0.2727469801902771,0.11183556914329529,2,2
8476853,5v5,0.11183556914329529,0.08973926305770874,2,1
8476871,5v5,0.19541751220822334,0.0,2,0
8476874,5v5,0.027487654238939285,0.057255278778029606,1,3
8476874,PK,0.0033138105645775795,0.0,1,0
8476878,5v5,0.3346143364906311,0.07396122068166733,3,3
8476879,5v5,0.07208647800029987,0.9235122381788728,4,9
8476879,PK,0.0,0.3211690226191545,0,6
8476881,5v5,0.245643962174654,0.023995598778128624,6,1
8476881,PK,0.1622491329908371,0.0,1,0
8476882,5v5,0.6951319839575969,0.3695427729790596,10,6
8476882,PK,0.0685181414643547,0.0,2,0
8476882,PP,0.0,0.22184894979000092,0,1
8476889,5v5,0.0019089248962700367,0.09185012802481651,1,3
8476891,5v5,0.2609063032873978,0.3062159627952843,8,2
8476891,PK,0.01953001152074546,0.0,1,0
8476891,PP,0.0,0.22184894979000092,0,1
8476892,5v5,0.38344041258096695,0.6611130870878696,3,7
8476897,5v5,0.0940667581744492,0.24730662256479263,2,4
8476897,PK,0.0174864511936903,0.0,1,0
8476905,5v5,0.08486615866422653,0.03549794293940067,2,2
8476906,5v5,0.6785795651376247,0.6048199683427811,5,4
8476913,5v5,0.0,0.09624679386615753,0,1
8476914,5v5,0.6844122391194105,0.7388604041188955,7,15
8476914,PK,0.19650245644152164,0.5011939667165279,3,3
8476917,5v5,0.7383805681020021,0.25969422422349453,6,2
8476917,PK,0.0,0.31534984707832336,0,2
8476917,PP,0.12336621433496475,0.0,1,0
8476921,5v5,0.4696680698543787,0.5781144178472459,5,5
8476923,5v5,0.0,0.7099928073585033,0,5
8476923,PK,0.31534984707832336,0.0,2,0
8476923,PP,0.0,0.12336621433496475,0,1
8476931,5v5,0.2030109278857708,0.3646293133497238,4,3
8476945,5v5,0.057255278778029606,0.20048275031149387,3,7
8476945,PK,0.0,0.0033138105645775795,0,1
