our_game_id,our_player_id,our_shot_x,our_shot_y,our_distance,our_angle,our_xg,our_is_goal,our_is_rebound,our_is_slot_shot,our_has_pass,mp_shotID,mp_game_id,mp_xCord,mp_yCord,mp_shotDistance,mp_shotAngle,mp_xGoal,mp_goal,mp_shotRebound,mp_shotRush,mp_lastEventCategory,match_distance,xg_difference,xg_ratio
2025020207,8483512,78.0,-5.0,12.083045973594572,24.443954780416536,0.0949999988079071,False,True,0,True,17441,20207,78,-5,12.0830459736,-24.4439547804,0.440742,0,1,0,SHOT,0.0,-0.3457420011920929,0.21554559993807512
2025020207,8477934,84.0,6.0,7.810249675906654,50.19442890773481,0.0949999988079071,False,False,0,False,17442,20207,84,6,7.81024967591,50.1944289077,0.0976079,0,0,0,FAC,0.0,-0.002607901192092893,0.9732818635367333
2025020207,8478013,67.0,28.0,35.608987629529715,51.84277341263094,0.0949999988079071,False,False,0,False,17443,20207,67,28,35.6089876295,51.8427734126,0.0215904,0,0,0,TAKE,0.0,0.07340959880790711,4.400103694600707
2025020207,8477934,86.0,-29.0,29.154759474226505,84.0938588862295,0.0399752147495746,True,False,0,False,17444,20207,86,-29,29.1547594742,-84.0938588862,0.476646,1,0,0,TAKE,0.0,-0.4366707852504254,0.08386772311017945
2025020207,8478402,53.0,19.0,40.70626487409524,27.82409638425326,0.0949999988079071,False,False,0,False,17452,20207,53,19,40.7062648741,27.8240963843,0.0222085,0,0,0,FAC,0.0,0.07279149880790711,4.277641389914092
2025020207,8478458,84.0,19.0,19.6468827043885,75.25643716352927,0.0949999988079071,False,False,0,False,17453,20207,84,19,19.6468827044,75.2564371635,0.0194369,0,0,0,SHOT,0.0,0.0755630988079071,4.887610617326174
2025020086,8478427,68.0,28.0,35.0,53.13010235415598,0.0949999988079071,False,False,0,False,7150,20086,68,28,35.0,53.1301023542,0.00548075,0,0,0,FAC,0.0,0.0895192488079071,17.33339393475475
2025020208,8482103,63.0,-9.0,27.51363298439521,19.09349200048561,0.0949999988079071,False,False,0,False,17519,20208,63,-9,27.5136329844,-19.0934920005,0.139911,0,0,0,GIVE,0.0,-0.0449110011920929,0.6790030720093996
2025020040,8477496,64.0,4.0,25.317977802344327,9.090276920822324,0.0949999988079071,False,False,0,False,3332,20040,64,4,25.3179778023,9.09027692082,0.210757,0,0,0,FAC,0.0,-0.1157570011920929,0.4507560783646906
2025020208,8475158,77.0,2.0,12.16552506059644,9.462322208025617,0.0949999988079071,False,False,0,False,17521,20208,77,2,12.1655250606,9.46232220803,0.225896,0,0,0,TAKE,0.0,-0.1308960011920929,0.420547503310847
2025020208,8480246,51.0,-21.0,43.41658669218482,28.92642583525361,0.0949999988079071,False,False,0,False,17522,20208,51,-21,43.4165866922,-28.9264258353,0.0292981,0,0,0,SHOT,0.0,0.06570189880790711,3.2425310449451366
2025020208,8482103,77.0,-33.0,35.11409973215888,70.01689347810003,0.0788231417536735,False,False,0,False,17525,20208,77,-33,35.1140997322,-70.0168934781,0.00991442,0,0,0,HIT,0.0,0.06890872175367349,7.95035329889933
2025020208,8474564,81.0,-10.0,12.806248474865695,51.34019174590991,0.0949999988079071,False,False,0,False,17526,20208,81,-10,12.8062484749,-51.3401917459,0.133204,0,0,0,BLOCK,0.0,-0.038204001192092885,0.7131917870927833
2025020208,8480246,36.0,-29.0,60.41522986797286,28.68614757373944,0.0541466251015663,False,False,0,False,17528,20208,36,-29,60.415229868,-28.6861475737,0.00760279,0,0,0,BLOCK,0.0,0.0465438351015663,7.121941432232943
2025020208,8476539,80.0,-3.0,9.486832980505138,18.43494882292201,0.0949999988079071,False,False,0,False,17535,20208,80,-3,9.48683298051,-18.4349488229,0.142275,0,0,0,SHOT,0.0,-0.04727500119209291,0.667720954545121
2025020208,8475287,79.0,0.0,10.0,0.0,0.0949999988079071,False,False,0,False,17536,20208,79,0,10.0,0.0,0.115549,0,0,0,BLOCK,0.0,-0.020549001192092894,0.8221620161828065
2025020208,8484241,57.0,-14.0,34.92849839314596,23.629377730656817,0.0949999988079071,False,False,0,False,17537,20208,57,-14,34.9284983931,-23.6293777307,0.0656452,0,0,0,FAC,0.0,0.029354798807907104,1.4471735756446336
2025020208,8482111,68.0,-13.0,24.698178070456937,31.759480084812797,0.0949999988079071,False,False,0,False,17538,20208,68,-13,24.6981780705,-31.7594800848,0.0856192,0,0,0,HIT,0.0,0.009380798807907098,1.1095641959736495
2025020208,8482768,71.0,-20.0,26.90724809414742,48.01278750418334,0.0949999988079071,False,False,0,False,17539,20208,71,-20,26.9072480941,-48.0127875042,0.0407827,0,0,0,BLOCK,0.0,0.054217298807907106,2.3294190626885203
2025020208,8476869,76.0,18.0,22.20360331117452,54.16234704572171,0.0949999988079071,False,False,0,False,17540,20208,76,18,22.2036033112,54.1623470457,0.0370173,0,0,0,BLOCK,0.0,0.0579826988079071,2.566367585099591
2025020208,8476869,27.0,5.0,62.20128616033595,4.6106493186606095,0.0949999988079071,False,False,0,False,17541,20208,27,5,62.2012861603,4.61064931866,0.0131514,0,0,0,SHOT,0.0,0.0818485988079071,7.223565461312644
2025020208,8480246,46.0,-33.0,54.20332093147061,37.504142360270144,0.0599388591945171,False,False,0,False,17543,20208,46,-33,54.2033209315,-37.5041423603,0.0079228,0,0,0,HIT,0.0,0.0520160591945171,7.565363153748308
2025020208,8480246,30.0,-3.0,59.07622195096772,2.9108378261677537,0.0949999988079071,False,False,0,False,17546,20208,30,-3,59.076221951,-2.91083782617,0.0261327,0,0,0,BLOCK,0.0,0.06886729880790711,3.63529213620893
2025020208,8476869,64.0,12.0,27.73084924772409,25.641005824305285,0.0949999988079071,False,False,0,True,17547,20208,64,12,27.7308492477,25.6410058243,0.16195,0,1,0,MISS,0.0,-0.0669500011920929,0.586600795356018
2025020208,8475158,81.0,4.0,8.94427190999916,26.56505117707799,0.0949999988079071,False,False,0,True,17548,20208,81,4,8.94427191,26.5650511771,0.191956,0,1,0,SHOT,0.0,-0.09695600119209288,0.4949050762044797
2025020209,8476453,89.0,-8.0,8.0,90.0,0.0949999988079071,True,False,0,False,17611,20209,89,-8,8.0622577483,-82.8749836511,0.0396564,1,0,0,GIVE,0.0,0.0553435988079071,2.3955779850895973
2025020209,8481719,45.0,25.0,50.60632371551998,29.60445074600491,0.0949999988079071,False,False,0,False,17612,20209,45,25,50.6063237155,29.604450746,0.0204719,0,0,0,TAKE,0.0,0.0745280988079071,4.640507173633473
2025020209,8482655,43.0,-7.0,46.52956049652737,8.652541791114725,0.0949999988079071,False,False,0,False,17613,20209,43,-7,46.5295604965,-8.65254179111,0.0169501,0,0,0,SHOT,0.0,0.07804989880790711,5.604686627684032
2025020209,8476453,74.0,-21.0,25.80697580112788,54.46232220802562,0.0949999988079071,False,False,0,False,17614,20209,74,-21,25.8069758011,-54.462322208,0.044917,0,0,0,MISS,0.0,0.050082998807907106,2.115012106950756
2025020209,8474151,54.0,16.0,38.48376280978771,24.567171320601314,0.0949999988079071,False,False,0,False,17615,20209,54,16,38.4837628098,24.5671713206,0.0521668,0,0,0,GIVE,0.0,0.042833198807907105,1.8210815846075876
2025020209,8480995,70.0,29.0,34.66987164671943,56.768288932020646,0.0949999988079071,False,False,0,False,17616,20209,70,29,34.6698716467,56.768288932,0.0166845,0,0,0,GIVE,0.0,0.0783154988079071,5.693907447505595
2025020209,8475167,37.0,23.0,56.859475903318,23.860175191342343,0.0555050559341907,False,False,0,False,17618,20209,37,23,56.8594759033,23.8601751913,0.00997547,0,0,0,BLOCK,0.0,0.0455295859341907,5.564154464320048
2025020209,8476453,75.0,6.0,15.231546211727816,23.19859051364819,0.0949999988079071,False,False,0,False,17620,20209,75,6,15.2315462117,23.1985905136,0.100965,0,0,0,FAC,0.0,-0.005965001192092895,0.9409201090269609
2025020209,8482655,70.0,-6.0,19.92485884517128,17.52556837372287,0.0949999988079071,False,False,0,False,17627,20209,70,-6,19.9248588452,-17.5255683737,0.0672282,0,0,0,HIT,0.0,0.027771798807907103,1.4130974621945418
2025020209,8476453,40.0,10.0,50.00999900019995,11.534620653644716,0.0949999988079071,False,False,0,False,17628,20209,40,10,50.0099990002,11.5346206536,0.0244761,0,0,0,HIT,0.0,0.0705238988079071,3.881337255849874
2025020209,8476826,75.0,40.0,42.37924020083418,70.70995378081128,0.0314109809696674,False,False,0,False,17630,20209,75,40,42.3792402008,70.7099537808,0.00709782,0,0,0,FAC,0.0,0.0243131609696674,4.425440623975727
2025020209,8480995,82.0,8.0,10.63014581273465,48.81407483429036,0.0949999988079071,False,True,0,True,17631,20209,82,8,10.6301458127,48.8140748343,0.15933,0,1,0,SHOT,0.0,-0.0643300011920929,0.5962467759235994
